date,Private_RD_real
1993-07-01,179.4545304793217
1993-10-01,180.5844878145008
1994-01-01,175.6321525046382
1994-04-01,177.79520373081465
1994-07-01,182.36605509866757
1994-10-01,186.59293501770958
1995-01-01,188.07855777315982
1995-04-01,192.6018887498633
1995-07-01,197.83942988078311
1995-10-01,201.24157960188126
1996-01-01,203.12942736226958
1996-04-01,207.62841280986032
1996-07-01,212.75247438771717
1996-10-01,217.24833445465654
1997-01-01,220.97614248870892
1997-04-01,224.89288670300576
1997-07-01,229.35171442454447
1997-10-01,229.4372261890671
1998-01-01,232.42297782730947
1998-04-01,238.4108423863811
1998-07-01,245.03177851234605
1998-10-01,249.86176870916623
1999-01-01,248.49751418509254
1999-04-01,256.89073189794897
1999-07-01,265.17653290445224
1999-10-01,274.0200179069535
2000-01-01,276.23284917194985
2000-04-01,279.3105335469196
2000-07-01,286.8026024023617
2000-10-01,290.6689256042201
2001-01-01,282.5289221558014
2001-04-01,283.3167245507178
2001-07-01,280.00213943045424
2001-10-01,276.72770592610027
2002-01-01,267.20551174203115
2002-04-01,267.1414604799852
2002-07-01,266.03623551148996
2002-10-01,268.5342347312824
2003-01-01,264.07391558152176
2003-04-01,267.26182076086957
2003-07-01,268.98965737500004
2003-10-01,270.79875692934786
2004-01-01,263.7328518699546
2004-04-01,266.7730486302881
2004-07-01,270.92396174864353
2004-10-01,275.23447546517275
2005-01-01,277.44199058040294
2005-04-01,280.77233888869927
2005-07-01,285.5249580727211
2005-10-01,284.36253721577333
2006-01-01,282.61751012196635
2006-04-01,289.9836054475545
2006-07-01,304.7133638400794
2006-10-01,317.3671894736842
2007-01-01,309.2961964640112
2007-04-01,315.56537048466123
2007-07-01,316.5903325581863
2007-10-01,325.9935024922332
2008-01-01,320.966089254916
2008-04-01,328.52967363013744
2008-07-01,322.888301002187
2008-10-01,321.97160641892094
2009-01-01,303.8058829847723
2009-04-01,311.70908114103906
2009-07-01,313.80540502319434
2009-10-01,325.5756638558073
2010-01-01,312.1424872028656
2010-04-01,312.5505048434911
2010-07-01,317.48493305932095
2010-10-01,327.62917329801434
2011-01-01,323.4743233017522
2011-04-01,328.809982242812
2011-07-01,332.9152574125368
2011-10-01,337.3703582603825
2012-01-01,330.45402721927474
2012-04-01,332.390771326514
2012-07-01,335.8852385056731
2012-10-01,339.9060644747268
2013-01-01,346.31827889251747
2013-04-01,351.9698564874486
2013-07-01,360.5477117385897
2013-10-01,366.7222522947349
2014-01-01,363.6083172549268
2014-04-01,372.1222891705215
2014-07-01,379.76953833090425
2014-10-01,393.9011577339839
2015-01-01,391.40259933945634
2015-04-01,394.455729504107
2015-07-01,401.2073669413834
2015-10-01,407.094364535283
2016-01-01,407.6372362290434
2016-04-01,421.91419091860774
2016-07-01,426.710283573461
2016-10-01,431.63097659115334
2017-01-01,430.679
2017-04-01,430.291
2017-07-01,439.92
2017-10-01,449.014
2018-01-01,450.42415699752496
2018-04-01,465.5043511357052
2018-07-01,470.4341142375832
2018-10-01,486.16347520007014
2019-01-01,495.3733650791064
2019-04-01,511.2636419542015
2019-07-01,520.4326950982633
2019-10-01,527.1146078203134
2020-01-01,528.5784137149745
2020-04-01,520.2406023856917
2020-07-01,541.4283966494853
2020-10-01,563.2203389687114
2021-01-01,552.0552364545003
2021-04-01,569.7413180022851
2021-07-01,583.1232526519899
2021-10-01,602.7886266363023
2022-01-01,576.1367715506599
2022-04-01,595.3946058638675
2022-07-01,605.3669641717725
2022-10-01,616.7968532193461
2023-01-01,603.6643526513421
2023-04-01,613.4014842976111
2023-07-01,618.7543324448577
2023-10-01,627.2493845090183
2024-01-01,621.1957578264008
2024-04-01,623.9814205634191
2024-07-01,634.2051544347081
2024-10-01,636.4563449944134
