date,Gross_Private_Investment_real
1964-10-01,4034.0464826128987
1965-01-01,4349.991718179415
1965-04-01,4361.420397272295
1965-07-01,4513.277328667336
1965-10-01,4543.162667674578
1966-01-01,4763.740337346337
1966-04-01,4693.220497556782
1966-07-01,4658.590361444887
1966-10-01,4685.8942786141415
1967-01-01,4447.0681032134835
1967-04-01,4286.178105370786
1967-07-01,4411.855965235955
1967-10-01,4507.029565483146
1968-01-01,4410.187724134133
1968-04-01,4578.878591288623
1968-07-01,4454.002857405989
1968-10-01,4502.453213640719
1969-01-01,4521.731286937756
1969-04-01,4495.093019161744
1969-07-01,4586.354666088142
1969-10-01,4364.9006905611095
1970-01-01,3999.4029761939496
1970-04-01,4008.0999962432957
1970-07-01,4073.3243144217977
1970-10-01,3857.058415861403
1971-01-01,4132.092277496912
1971-04-01,4249.341463690819
1971-07-01,4300.897344602717
1971-10-01,4185.080443826678
1972-01-01,4319.478483779151
1972-04-01,4564.834728411402
1972-07-01,4629.65340523221
1972-10-01,4658.6852875144505
1973-01-01,4641.223872763083
1973-04-01,4839.061335447383
1973-07-01,4663.598798593134
1973-10-01,4829.715142470455
1974-01-01,4102.206656532613
1974-04-01,4085.835495648868
1974-07-01,3874.070671713417
1974-10-01,3897.585516458263
1975-01-01,2995.892812015792
1975-04-01,2906.7011958615885
1975-07-01,3132.046367765908
1975-10-01,3219.4681944914073
1976-01-01,3337.379596514929
1976-04-01,3469.4687753615335
1976-07-01,3481.558308837821
1976-10-01,3507.6060475687937
1977-01-01,3447.10024511548
1977-04-01,3694.2267051512235
1977-07-01,3881.166534329118
1977-10-01,3783.806310338191
1978-01-01,3584.088478095542
1978-04-01,3816.878125263763
1978-07-01,3928.083269639801
1978-10-01,4018.9224940043428
1979-01-01,3618.4182219093
1979-04-01,3615.1586009380026
1979-07-01,3554.2778683329507
1979-10-01,3491.228810180253
1980-01-01,3054.88956373862
1980-04-01,2795.136223701193
1980-07-01,2610.654763255108
1980-10-01,2853.9781208921704
1981-01-01,2824.951251048387
1981-04-01,2707.868366178519
1981-07-01,2860.491728014113
1981-10-01,2759.760024537207
1982-01-01,2353.7603182562157
1982-04-01,2351.969065069061
1982-07-01,2330.4177149715124
1982-10-01,2150.278782925587
1983-01-01,2156.6396767933056
1983-04-01,2347.632330386611
1983-07-01,2494.612141546444
1983-10-01,2737.296230565691
1984-01-01,2876.2028577565748
1984-04-01,2969.7371203407633
1984-07-01,3034.001920699166
1984-10-01,2994.648042837556
1985-01-01,2813.2904808736057
1985-04-01,2861.2076632946096
1985-07-01,2841.7020645864313
1985-10-01,2946.440008710502
1986-01-01,2889.4083329605714
1986-04-01,2838.96420461293
1986-07-01,2762.597136992327
1986-10-01,2770.866047252906
1987-01-01,2747.3370425421735
1987-04-01,2748.7678309623
1987-07-01,2749.168816252017
1987-10-01,2936.4904613385656
1988-01-01,2685.420216410907
1988-04-01,2749.4037112428664
1988-07-01,2764.677896651871
1988-10-01,2806.8673897209896
1989-01-01,2769.449859343105
1989-04-01,2742.6602994271498
1989-07-01,2718.036543957507
1989-10-01,2697.873886170914
1990-01-01,2584.600452601569
1990-04-01,2585.4067868594934
1990-07-01,2535.287268291983
1990-10-01,2393.4596101683783
1991-01-01,2220.2181243892287
1991-04-01,2220.21052030355
1991-07-01,2264.1697396156674
1991-10-01,2344.45557723929
1992-01-01,2233.2186770695494
1992-04-01,2359.5154383292747
1992-07-01,2378.2707573611688
1992-10-01,2450.834618089327
1993-01-01,2436.2648549454925
1993-04-01,2450.2831099238624
1993-07-01,2433.6418072348156
1993-10-01,2561.5225499273233
1994-01-01,2591.816227134424
1994-04-01,2719.2855477500425
1994-07-01,2674.863124321134
1994-10-01,2784.908907626919
1995-01-01,2737.3558143563387
1995-04-01,2680.503243596194
1995-07-01,2664.5268354451496
1995-10-01,2730.705347805425
1996-01-01,2695.4091049822027
1996-04-01,2824.9225180348512
1996-07-01,2953.232897511024
1996-10-01,2949.3135494395156
1997-01-01,2940.103039814671
1997-04-01,3120.5514194222083
1997-07-01,3163.922758789908
1997-10-01,3210.375695031926
1998-01-01,3300.1706288763353
1998-04-01,3279.73477398088
1998-07-01,3364.935249752569
1998-10-01,3467.1907477930577
1999-01-01,3486.274938675337
1999-04-01,3488.0370742661325
1999-07-01,3584.050155292646
1999-10-01,3679.643680226113
2000-01-01,3534.5937748569904
2000-04-01,3743.970406411944
2000-07-01,3707.701788159996
2000-10-01,3715.45731338431
2001-01-01,3449.090269080254
2001-04-01,3454.4752484763476
2001-07-01,3379.551952469287
2001-10-01,3211.62042693622
2002-01-01,3255.467486609989
2002-04-01,3308.526199310137
2002-07-01,3304.2720614469054
2002-10-01,3301.052674978688
2003-01-01,3253.2329452377717
2003-04-01,3274.3733004293476
2003-07-01,3392.7519740135867
2003-10-01,3508.5195809021734
2004-01-01,3423.1306364021348
2004-04-01,3559.2904280660814
2004-07-01,3615.6976641086944
2004-10-01,3690.929693270545
2005-01-01,3671.0778410758794
2005-04-01,3623.3066266323835
2005-07-01,3670.8723649342787
2005-10-01,3787.8532464791742
2006-01-01,3723.399002191674
2006-04-01,3701.9966071509493
2006-07-01,3687.90172052797
2006-10-01,3619.371675417374
2007-01-01,3495.664668627845
2007-04-01,3529.338710473328
2007-07-01,3488.7845424049387
2007-10-01,3448.8246294775595
2008-01-01,3231.271310733702
2008-04-01,3176.9782159353417
2008-07-01,3113.728468127807
2008-10-01,2812.7089253452605
2009-01-01,2501.077757177712
2009-04-01,2355.711023572148
2009-07-01,2348.7451371393086
2009-10-01,2567.8906696365043
2010-01-01,2580.92906611184
2010-04-01,2716.405778776452
2010-07-01,2837.0082323561264
2010-10-01,2828.966327855252
2011-01-01,2691.7566123995766
2011-04-01,2801.821778535321
2011-07-01,2814.202771846365
2011-10-01,3031.1785863017567
2012-01-01,3035.4018155684525
2012-04-01,3103.5416044620883
2012-07-01,3111.71138869843
2012-10-01,3085.286432426399
2013-01-01,3161.7833904875156
2013-04-01,3203.0188739159507
2013-07-01,3332.4757789896407
2013-10-01,3364.493866771767
2014-01-01,3278.574864926177
2014-04-01,3413.2686498352446
2014-07-01,3491.8182448260563
2014-10-01,3502.971191594322
2015-01-01,3620.562427898739
2015-04-01,3634.929362047959
2015-07-01,3642.816212549063
2015-10-01,3621.041908215867
2016-01-01,3560.361843642418
2016-04-01,3545.2007888283774
2016-07-01,3560.349979688306
2016-10-01,3658.141317810883
2017-01-01,3572.2444102800246
2017-04-01,3628.452797768245
2017-07-01,3688.8969317377946
2017-10-01,3758.2708767884023
2018-01-01,3724.536520311669
2018-04-01,3723.9726239468814
2018-07-01,3837.2250750240437
2018-10-01,3839.806421454443
2019-01-01,3802.584437529316
2019-04-01,3837.5359389682803
2019-07-01,3867.8014544673415
2019-10-01,3817.672137721732
2020-01-01,3673.842
2020-04-01,3162.976
2020-07-01,3747.725
2020-10-01,3863.835
2021-01-01,3668.5712144063796
2021-04-01,3608.856343820225
2021-07-01,3747.827709282003
2021-10-01,3989.0190798203357
2022-01-01,3760.158260355887
2022-04-01,3677.086581539824
2022-07-01,3623.325160589263
2022-10-01,3674.4566727864544
2023-01-01,3447.4960201657345
2023-04-01,3514.1986752199537
2023-07-01,3599.721848379439
2023-10-01,3606.1205187039345
2024-01-01,3533.826231542084
2024-04-01,3605.3441875767394
2024-07-01,3612.4002628282947
2024-10-01,3560.7096224461225
