date,Gov_RD_real
1993-07-01,123.440204021457
1993-10-01,123.62683361135146
1994-01-01,120.84146961038961
1994-04-01,121.34254340360938
1994-07-01,122.04867709900489
1994-10-01,122.88876121437006
1995-01-01,120.52135494257904
1995-04-01,121.27738821393417
1995-07-01,121.7905256895986
1995-10-01,122.11385055671006
1996-01-01,118.70820789884716
1996-04-01,118.93792337671998
1996-07-01,119.32234519683367
1996-10-01,119.83490762365193
1997-01-01,117.75428073508799
1997-04-01,118.34370111197633
1997-07-01,118.89341959819343
1997-10-01,119.37595026942844
1998-01-01,117.98589378048159
1998-04-01,118.50167417821177
1998-07-01,119.1287308133531
1998-10-01,119.85653755533973
1999-01-01,118.08627536368185
1999-04-01,119.15308511855928
1999-07-01,120.42442805402702
1999-10-01,121.97829164182092
2000-01-01,119.72363042926969
2000-04-01,121.5286738092242
2000-07-01,123.36503497652808
2000-10-01,125.28823182693702
2001-01-01,123.77774008001884
2001-04-01,125.90023756931045
2001-07-01,128.21933952271124
2001-10-01,130.75442947893623
2002-01-01,132.8832012676056
2002-04-01,136.2424855429948
2002-07-01,139.3987136897702
2002-10-01,142.38186714974054
2003-01-01,141.8571178532609
2003-04-01,144.44154578804347
2003-07-01,146.95137167934783
2003-10-01,149.3652806576087
2004-01-01,147.70710969517845
2004-04-01,149.9531961621598
2004-07-01,152.24080473598306
2004-10-01,154.52062791477348
2005-01-01,151.71349622908846
2005-04-01,153.7132115909867
2005-07-01,155.48194915841586
2005-10-01,157.01970893137593
2006-01-01,153.37579829495184
2006-04-01,154.78407605407864
2006-07-01,156.27261834869972
2006-10-01,157.911960679704
2007-01-01,155.25870135885182
2007-04-01,156.95396734897292
2007-07-01,158.61140313568828
2007-10-01,160.2144580050078
2008-01-01,155.8164428855644
2008-04-01,156.99960521104697
2008-07-01,157.88099851222452
2008-10-01,158.46973279737801
2009-01-01,159.27720343206556
2009-04-01,159.95122582469313
2009-07-01,161.01937995538256
2009-10-01,162.51251091667783
2010-01-01,161.72672778547553
2010-04-01,163.2081802657634
2010-07-01,164.32769974252113
2010-10-01,165.06280590497047
2011-01-01,160.42613270763772
2011-04-01,160.66043962600534
2011-07-01,160.78140738386026
2011-10-01,160.74762359563053
2012-01-01,157.3257596043314
2012-04-01,157.14105357866856
2012-07-01,156.93499425524124
2012-10-01,156.71505528826697
2013-01-01,152.38951286693492
2013-04-01,151.30991528503222
2013-07-01,150.25031025094253
2013-10-01,149.20333208915582
2014-01-01,145.79788588809328
2014-04-01,145.52140443571386
2014-07-01,146.00498809961346
2014-10-01,147.24967239084975
2015-01-01,148.98592593092667
2015-04-01,150.3408041543997
2015-07-01,151.13201166658052
2015-10-01,151.35747995109742
2016-01-01,149.07514230685766
2016-04-01,149.20689187084318
2016-07-01,149.85849048962436
2016-10-01,151.0278955343022
2017-01-01,149.574
2017-04-01,151.425
2017-07-01,153.431
2017-10-01,155.592
2018-01-01,154.94196619666707
2018-04-01,156.30082366950154
2018-07-01,156.89532381386664
2018-10-01,156.6912999547988
2019-01-01,153.4337444767981
2019-04-01,154.86619929194273
2019-07-01,158.29392751426008
2019-10-01,163.7073410927786
2020-01-01,169.07339005218157
2020-04-01,173.02781368773924
2020-07-01,178.83539993220163
2020-10-01,182.4053657143023
2021-01-01,175.9996242531788
2021-04-01,178.40318001362402
2021-07-01,181.73577294605911
2021-10-01,185.7323515496146
2022-01-01,176.22635602341444
2022-04-01,180.45989645921048
2022-07-01,184.92881973284958
2022-10-01,189.41030792665822
2023-01-01,186.37146703715354
2023-04-01,189.927161177645
2023-07-01,192.8046991732418
2023-10-01,194.85847454443518
2024-01-01,190.54636374069102
2024-04-01,192.12243155010634
2024-07-01,194.1946833253019
2024-10-01,196.72951920717762
